life_expectancy;continent;location;date;total_cases;total_deaths;total_deaths_per_million;gdp_per_capita;population;population_density;median_age;aged_65_older;hospital_beds_per_thousand
64.83;Asia;Afghanistan;31/12/2019;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;01/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;02/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;03/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;04/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;05/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;06/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;07/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;08/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;09/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;10/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;11/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;12/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;13/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;14/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;15/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;16/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;17/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;18/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;19/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;20/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;21/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
64.83;Asia;Afghanistan;22/01/2020;0.0;0.0;0.0;1.803.987;38928341.0;54.422;18.6;2.581;0.5
